suburb,incident_date,injuries,offender,victim
Corio,2013-03-07,Broken Skin,Keehound,Person
Lara,2013-02-28,,Pitbull,Person
Bell Post Hill,,,Terrier,Person
Newtown,2013-04-08,,Dalmation,Dog
Wallington,,broken Skin,,Dog
Balliang,2012-11-20,,,Dog
Ocean grove ,,,Staffy,Dog
Ocean grove ,2013-04-17,Severe Tearomg,Staffy,Dog
Whittington,2013-04-01,Puncture Wound,,Person
Fyansford,2013-04-02,Broken Skin,Rhodesian Ridgback,Dog
Norlane,,,Pitbuls,Person
Ocean grove ,2013-04-03,,Border Collie,Dog
Norlane,2013-04-04,Broken Skin,Rotweiler,person
Newtown,2013-04-08,Severe Tearing,Dalmation,Dog
Thompson,2013-05-24,stitches,GSH,dog
Anakie,2013-05-22,Death,Unknown,Lamb
Highton,2013-05-18,stitches,Bulldog,dog
Grovedale,,death,Unknown,Rabbits
Waurn Ponds,2013-05-15,Death,STA,Cat
Belmont,2013-05-15,Bruising,Weimaraner,Person
Leopold,2013-05-14,,Maltese,Person
Marshall,2013-05-10,Broken Skin,,Dog
Hamlyn Heights,,,Staffie,Dog
Corio,2013-05-20,Wound,Am Staf,dog
Corio,2013-05-20,Severe Tearing,Am Staf,Dogperson
Lara,2013-05-12,Stitches,STABUT,Dog
Moorabool,2013-05-10,Death,GSH,Sheep
Norlane,,Death/Bite,Staffie,Cat/Human
Lara,,Death,STA & JAC,Chickens
Belmont,2013-05-23,Broken Skin,ROT & KEL,
Corio,2013-05-14,Severe Tearing,STA,Cat
Corio,2013-05-12,,BUM,Dog
Waurn Ponda,2013-05-02,Broken Skin,STABUT,Dog
Belmont,2013-05-01,Broken Skin,SAF,Person
Clifton Springs,2013-06-09,Torn Clothes,BOC,Person
Norlane ,2013-06-14,,STAXJACX,Norlane
Geelong West,2013-06-21,PunctureWound,,Person
Grovedale,2013-06-25,PunctureWound,KELSTAKELCOL,Dog
Newcomb,2013-06-10,,,Dog
Newcomb,2013-06-12,No injury,BUM,Dog
Little River,2013-06-13,,,Sheep
Whittington,2013-06-21,Bite,,Person
Breakwater,2013-06-05,Bite,STAPIT,Person
Whittington,2013-06-28,Bite,BOCGOL,Dog
Ocean Govr,2013-06-28,,,Dog
Whittington,2013-06-30,wound,,Person
Lara,2013-07-02,Death,,Chicken
St Albans Park,2013-07-04,Death,,Cat
Ocean Grove,2013-07-08,Puncture Wound,,Person
Barwon Heads,2013-07-12,Broken Skin,BHE,Dog
Bell Park,2013-07-31,Death,MAL x 2 ,Chicken
Geelong West,2013-08-30,Bite,unknown,Person
Grovedale,2013-08-01,Bruised,Blue Heeler,Person
Geelong  ,2013-08-14,,,Person
Corio,2013-08-23,,,Dog
Hamlyn Heights,2013-08-20,Broken Skin,LAB,Dog
Clifton Springs,2013-08-20,Puncture Wound,Boxer/Staffy,Person
Highton,2013-08-20,,Kelpie,Dog
Drysdale,2013-08-21,Death,Pitbulls,Calves
Grovedale,2013-08-23,Bite,Blue Heeler,Person
Corio,,,Staffy,
Clifton Springs,2013-08-19,Broken Skin,Mareema Sheepdog,Person
Barwon Heads,2013-08-29,death,Border Collie,Lambs
Drysdale,2013-08-21,Death,,Chickens
Norlane,2013-08-28,Death,,Dog
Ocean Grove,2012-01-03,u/k,u/k,Dog
Ocean Grove,2012-01-01,Person -                                                                                                                                                                                                                                              minor.                                                                                                                                                                                                                                                                   Chickens -                                                                                                                                                                                                                                                    dead,Huskies,Person &                                                                                                                                                                                                                                    Chickens
Lovely Banks,2012-01-04,Dead,German                                                                                                                                                                                                                          Shepherds,Dog
Manifold Heights,2012-01-05,Puncture wound,Heeler/Cross,Person
Curlewis,2012-01-08,Death,Red Heeler,Sheep
Moolap,2012-01-09,Dead,Malamute,Chicken
Highton,2012-01-11,u/k,Rottweiler,Dog
Barwon Heads,2012-01-14,Surgery ,Blue Heeler,Person  
Thomson,2012-01-19,Bruising,Staffy,Dog
Leopold,2012-01-19,Puncture wound,u/k,Dog
Corio,2012-01-25,Puncture wound,Boxers,Person
Newcomb,2012-01-26,u/k,German Shepherds (Guard Dogs),Cat
Point Cook,2011-12-25,Surgery ,Pomeranian,Person
North Geelong,2012-01-21,Puncture wound,Red Heeler,Person
Waurn Ponds,2012-01-25,Puncture wound,Staffy,Dog
Ocean Grove,2012-01-01,Dead,Huskys,Chooks
Lovely Banks,2012-01-04,Dead,German sheperd,Dog
Curlewis,2012-01-08,dead,Heeler/Cross,Sheep
Newcomb,2012-01-09,dead,Malamute,Chooks
Moolap,2012-01-26,Dead,German Shep,Cat
Barwon Heads,2012-01-14,Surgery ,Blue Heeler,Person
U/K,2012-01-12,bite,Rottweiler,Dog
Leopold,2012-01-19,Bite Wound,Boxer x,dog
Bell Post Hill,2012-01-06,Bite,U/K,Person
corio,2012-01-25,Bite,U/K,Person
Lara,2012-02-01,Bruising,pitbull X bull mastif,Person
Corio,2012-02-01,Puncture wound ,u/k,Person
Lara,2012-02-02,Puncture wound ,bull mastiffs,Person
Corio,2012-02-04,Nil,Bull MastiffX,Person
Highton,2012-02-06,Internal bleeding,u/k,Dog
Lara,2012-02-06,1 x lost ear.                                                                                                                                                                                                                                              1 x mauled,Whippet X Woulfhound,2 x Sheep
Newtown,2012-02-07,Puncture wound (minor),Staffy,Dog
Norlane,2012-02-05,Deceased,GSH,Cat
Hamlyn Heights,2012-02-19,Cat attacked,Greyhound,Cat
Highton,2012-02-25,Broken skin,Maltese x2,Person
Hamlyn Heights,2012-03-13,u/k,?,Dog
Grovedale,2012-03-16,Euthanased,Staffy's,Dog
Drysdale,2012-03-12,Bite Wound,Lab x,Dog
Newcomb,2012-03-19,Severe Tearing,stffy or pitbull,Dog
U/K,2012-04-02,U/K,Greyhound,Dog
Corio,2012-04-03,Puncture Wounds,Staffyx,Dog
